LQenujj_M250		   LQToUE_ENuJJFilter_M-250
LQenujj_M300		   LQToUE_ENuJJFilter_M-300
LQenujj_M340		   LQToUE_ENuJJFilter_M-340
SingleTop		   SingleTop_sChannel SingleTop_tChannel SingleTop_tWChannel
TTbar_Madgraph		   TTbarJets-madgraph
WW			   WW__Spring10-START3X_V26_S09
WZ			   WZ__Spring10-START3X_V26_S09
ZZ			   ZZ__Spring10-START3X_V26_S09
ZJetAlpgen		   Z0Jets_Pt Z1Jets_Pt Z2Jets_Pt Z3Jets_Pt Z4Jets_Pt Z5Jets_Pt
WJetAlpgen		   W0Jets_Pt W1Jets_Pt W2Jets_Pt W3Jets_Pt W4Jets_Pt W5Jets_Pt
WJetMadgraph		   WJetsToLNu_TuneD6T_7TeV-madgraph-tauola
WJetMadgraph_scaledown	   WJets_TuneD6T_scaledown_7TeV-madgraph-tauola
WJetMadgraph_scaleup	   WJets_TuneD6T_scaleup_7TeV-madgraph-tauola
WJetMadgraph_matchingup	   WJets_TuneD6T_matchingup_7TeV-madgraph-tauola
BJets                      BJets_HT-100To250 BJets_HT-250To500 BJets_HT-500To1000 BJets_HT-1000
PhotonJets		   GJets_TuneD6T_HT-40To100 GJets_TuneD6T_HT-100To200 GJets_TuneD6T_HT-200
ALLBKG			   Z0Jets_Pt Z1Jets_Pt Z2Jets_Pt Z3Jets_Pt Z4Jets_Pt Z5Jets_Pt TTbarJets-madgraph WW WZ ZZ SingleTop_sChannel SingleTop_tChannel SingleTop_tWChannel W0Jets_Pt W1Jets_Pt W2Jets_Pt W3Jets_Pt W4Jets_Pt W5Jets_Pt BJets_HT-100To250 BJets_HT-250To500 BJets_HT-500To1000 BJets_HT-1000 GJets_TuneD6T_HT-40To100 GJets_TuneD6T_HT-100To200 GJets_TuneD6T_HT-200
ALLBKG_WMadgraph	   Z0Jets_Pt Z1Jets_Pt Z2Jets_Pt Z3Jets_Pt Z4Jets_Pt Z5Jets_Pt TTbarJets-madgraph WW WZ ZZ SingleTop_sChannel SingleTop_tChannel SingleTop_tWChannel WJetsToLNu_TuneD6T_7TeV-madgraph-tauola BJets_HT-100To250 BJets_HT-250To500 BJets_HT-500To1000 BJets_HT-1000 GJets_TuneD6T_HT-40To100 GJets_TuneD6T_HT-100To200 GJets_TuneD6T_HT-200
ALLBKG_WMadgraph_scldown   Z0Jets_Pt Z1Jets_Pt Z2Jets_Pt Z3Jets_Pt Z4Jets_Pt Z5Jets_Pt TTbarJets-madgraph WW WZ ZZ SingleTop_sChannel SingleTop_tChannel SingleTop_tWChannel WJets_TuneD6T_scaledown_7TeV-madgraph-tauola BJets_HT-100To250 BJets_HT-250To500 BJets_HT-500To1000 BJets_HT-1000 GJets_TuneD6T_HT-40To100 GJets_TuneD6T_HT-100To200 GJets_TuneD6T_HT-200
ALLBKG_WMadgraph_sclup   Z0Jets_Pt Z1Jets_Pt Z2Jets_Pt Z3Jets_Pt Z4Jets_Pt Z5Jets_Pt TTbarJets-madgraph WW WZ ZZ SingleTop_sChannel SingleTop_tChannel SingleTop_tWChannel WJets_TuneD6T_scaleup_7TeV-madgraph-tauola BJets_HT-100To250 BJets_HT-250To500 BJets_HT-500To1000 BJets_HT-1000 GJets_TuneD6T_HT-40To100 GJets_TuneD6T_HT-100To200 GJets_TuneD6T_HT-200
ALLBKG_WMadgraph_mtchlup   Z0Jets_Pt Z1Jets_Pt Z2Jets_Pt Z3Jets_Pt Z4Jets_Pt Z5Jets_Pt TTbarJets-madgraph WW WZ ZZ SingleTop_sChannel SingleTop_tChannel SingleTop_tWChannel WJets_TuneD6T_matchingup_7TeV-madgraph-tauola BJets_HT-100To250 BJets_HT-250To500 BJets_HT-500To1000 BJets_HT-1000 GJets_TuneD6T_HT-40To100 GJets_TuneD6T_HT-100To200 GJets_TuneD6T_HT-200
OTHERBKG		   WW WZ ZZ SingleTop_sChannel SingleTop_tChannel SingleTop_tWChannel Z0Jets_Pt Z1Jets_Pt Z2Jets_Pt Z3Jets_Pt Z4Jets_Pt Z5Jets_Pt BJets_HT-100To250 BJets_HT-250To500 BJets_HT-500To1000 BJets_HT-1000 GJets_TuneD6T_HT-40To100 GJets_TuneD6T_HT-100To200 GJets_TuneD6T_HT-200
DATA			   EG__Run2010A-Nov4ReReco_v1 Electron__Run2010B-Nov4ReReco_v1
